Timestamp,Data,Type,Camera
2025-05-02T15:40:26.135706,2240078101,CODE39,Cam1
2025-05-02T15:40:26.345442,2240078101,CODE39,Cam1
2025-05-02T15:40:26.379867,2240078101,CODE39,Cam1
2025-05-02T15:40:26.415241,2240078101,CODE39,Cam1
2025-05-02T15:40:26.449549,2240078101,CODE39,Cam1
2025-05-02T15:40:26.484563,2240078101,CODE39,Cam1
2025-05-02T15:40:26.556648,2240078101,CODE39,Cam1
2025-05-02T15:40:26.592046,2240078101,CODE39,Cam1
2025-05-02T15:40:26.628078,2240078101,CODE39,Cam1
2025-05-02T15:40:26.730040,2240078101,CODE39,Cam1
2025-05-02T15:40:26.764388,2240078101,CODE39,Cam1
2025-05-02T15:40:26.799683,2240078101,CODE39,Cam1
2025-05-02T15:40:26.834549,2240078101,CODE39,Cam1
2025-05-02T15:40:26.907145,2240078101,CODE39,Cam1
2025-05-02T15:40:26.942410,2240078101,CODE39,Cam1
2025-05-02T15:40:27.012657,2240078101,CODE39,Cam1
2025-05-02T15:40:27.082556,2240078101,CODE39,Cam1
2025-05-02T15:40:27.117420,2240078101,CODE39,Cam1
2025-05-02T15:40:27.152406,2240078101,CODE39,Cam1
2025-05-02T15:40:27.187669,2240078101,CODE39,Cam1
2025-05-02T15:40:27.222405,2240078101,CODE39,Cam1
2025-05-02T15:40:27.258527,2240078101,CODE39,Cam1
2025-05-02T15:40:27.292123,2240078101,CODE39,Cam1
2025-05-02T15:40:27.327496,2240078101,CODE39,Cam1
2025-05-02T15:40:27.360929,2240078101,CODE39,Cam1
2025-05-02T15:40:27.397226,2240078101,CODE39,Cam1
2025-05-02T15:40:27.432210,2240078101,CODE39,Cam1
2025-05-02T15:40:27.466272,2240078101,CODE39,Cam1
2025-05-02T15:40:27.501810,2240078101,CODE39,Cam1
2025-05-02T15:40:27.536368,2240078101,CODE39,Cam1
2025-05-02T15:40:27.570925,2240078101,CODE39,Cam1
2025-05-02T15:40:27.605545,2240078101,CODE39,Cam1
2025-05-02T15:40:27.640541,2240078101,CODE39,Cam1
2025-05-02T15:40:27.675012,2240078101,CODE39,Cam1
2025-05-02T15:40:27.709796,2240078101,CODE39,Cam1
2025-05-02T15:40:27.746076,2240078101,CODE39,Cam1
2025-05-02T15:40:27.779373,2240078101,CODE39,Cam1
2025-05-02T15:40:27.814046,2240078101,CODE39,Cam1
2025-05-02T15:40:27.847943,2240078101,CODE39,Cam1
2025-05-02T15:40:27.881993,2240078101,CODE39,Cam1
2025-05-02T15:40:27.916647,2240078101,CODE39,Cam1
2025-05-02T15:40:27.951202,2240078101,CODE39,Cam1
2025-05-02T15:40:27.987946,2240078101,CODE39,Cam1
2025-05-02T15:40:28.027189,2240078101,CODE39,Cam1
2025-05-02T15:40:28.069750,2240078101,CODE39,Cam1
2025-05-02T15:40:28.103436,2240078101,CODE39,Cam1
2025-05-02T15:40:28.137789,2240078101,CODE39,Cam1
2025-05-02T15:40:28.174393,2240078101,CODE39,Cam1
2025-05-02T15:40:28.209340,2240078101,CODE39,Cam1
