Timestamp,Data,Type,Camera
2025-05-03 22:21:37,2240086101,CODE39,Cam2
2025-05-03 22:21:39,2240083101,CODE39,Cam1
2025-05-03 22:21:39,2240068101,CODE39,Cam1
2025-05-03 22:21:47,0101,CODE39,Cam1
2025-05-03 22:21:47,2240111101,CODE39,Cam1
2025-05-03 22:21:47,22W,CODE39,Cam1
2025-05-03 22:21:51,2240108101,CODE39,Cam2
2025-05-03 22:21:51,2240113101,CODE39,Cam2
2025-05-03 22:21:51,2240078101,CODE39,Cam2
2025-05-03 22:21:53,1240100101,CODE39,Cam1
2025-05-03 22:21:57,2240100101,CODE39,Cam1
2025-05-03 22:21:58,111101,CODE39,Cam1
